Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Context-Controlled Topic-Aware Neural Response Generation for Open-Domain Dialog Systems,We examine the performance of our CCTA model with extensive experiments on two benchmark conversation datasets. Experimental results validate the superiority of our proposal on response generation task against the state-of-the-art baselines.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Mining product innovation ideas from online reviews,We introduce a novel deep learning approach to identify innovative ideas of products from online customer reviews.,IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Mining product innovation ideas from online reviews,Results show that our model outperforms the baselines.,IPM,Performance Evaluation,Model Optimization,0,Model Optimization,,,,,,,,,,,,,,,,,,,
Detecting health misinformation in online health communities: Incorporating behavioral features into machine learning based approaches,"We built a health misinformation detection model integrating the linguistic features, the topic features, the sentiment features, and the behavioral features.",IPM,New Algorithm or Method or Technology,Model Construction,0,Model Construction,,,,,,,,,,,,,,,,,,,
Detecting health misinformation in online health communities: Incorporating behavioral features into machine learning based approaches,"The proposed model, as well as the features, were validated on a real-world dataset, being able to correctly detect about 85% of health misinformation.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
What motivates Chinese consumers to avoid information about the COVID-19 pandemic?: The perspective of the stimulus-organism-response model,A research model based on S-O-R framework is proposed to examine the factors that influence health information avoidance intention during the COVID-19 pandemic.,IPM,Model Optimization,Model Construction,0,Model Construction,,,,,,,,,,,,,,,,,,,
Semantics-enabled query performance prediction for ad hoc table retrieval,We systematically investigate the impact of the state-of-the-art post-retrieval query performance prediction methods in the context of ad hoc table retrieval,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Semantics-enabled query performance prediction for ad hoc table retrieval,"We show how neural features derived from neural embedding techniques can be integrated into existing query performance predictors, leading to neural predictors",IPM,New Algorithm or Method or Technology,Algorithm or Method or Technology Optimization,0,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Semantics-enabled query performance prediction for ad hoc table retrieval,We evaluate our proposed neural predictors on a gold standard test collection derived from Wikipedia tables. We further analyze our findings from various perspectives and identify areas where neural predictors are able to provide effective performance improvements.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
A novel community answer matching approach based on phrase fusion heterogeneous information network,"As far as we know, it is the first work to propose the phrase information network and employ it to fuse information networks. Following this inspiration, we propose the phrase network generation algorithm (PNG) and construct PFHIN, which seamlessly fuses text semantics with complex entities in CQA.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A novel community answer matching approach based on phrase fusion heterogeneous information network,We define the distance of entities with the same or different types in HIN and propose the optimal entity matching algorithm. The real question-answer matching case in CQA is described in detail.,IPM,Model Optimization,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A novel community answer matching approach based on phrase fusion heterogeneous information network,"We perform an in-depth meta-path analysis of the optimal matching answers. It is found that most meta-paths include the Phrase entity, which proves that phrases serve as a bridge that effectively connects different types of entities in CQA.",IPM,New Algorithm or Method or Technology,Algorithm or Method or Technology Optimization,0,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
CGNet: A graph-knowledge embedded convolutional neural network for detection of pneumonia,A high-performance pneumonia detection system was proposed in this paper.,IPM,Model Optimization,Model Construction,0,Model Construction,,,,,,,,,,,,,,,,,,,
CGNet: A graph-knowledge embedded convolutional neural network for detection of pneumonia,A novel graph-based feature reconstruction method was proposed.,IPM,Model Optimization,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
CGNet: A graph-knowledge embedded convolutional neural network for detection of pneumonia,The proposed feature reconstruction is efficient yet transplantable to other scenarios.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Multi-context embedding based personalized place semantics recognition,"Propose MEPSR, which employs embedding methods, including deep learning based embedding and word embedding, to obtain effective representations from multi-context information.",IPM,Applications,Algorithm or Method or Technology Optimization,0,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Multi-context embedding based personalized place semantics recognition,"Jointly model personalized place semantics and App usage sequences by sharing the App representations, which can introduce an inductive bias to improve generalization capability.",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Multi-context embedding based personalized place semantics recognition,Conduct extensive experiments on the Mobile Data Challenge (MDC) dataset to evaluate the effectiveness of MEPSR. Experimental results show that our method outperforms existing methods significantly.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Find right countenance for your input—Improving automatic emoticon recommendation system with distributed representations,"Adapted pre-trained model (i.e. BERT, ELMo, and Word2vec) learned from Japanese data to our emoticon recommendation system.",IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Find right countenance for your input—Improving automatic emoticon recommendation system with distributed representations,Empirically compared our proposed systems with baseline methods that learned surface patterns of texts and emoticons.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Find right countenance for your input—Improving automatic emoticon recommendation system with distributed representations,Compared pre-trained models learned from different text domains to observe the difference in recommendation results.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination,Polarity determination using proposed domain specific lexicon delivers better performance than other lexicon based methods,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination,A robust set of experiments have been performed in this study by comparing this method with similar methods that use review labels for training lexicons across several datasets.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
SentiDraw: Using star ratings of reviews to develop domain specific sentiment lexicon for polarity determination,Hybrid method using ML also illustrates the superiority of this method for building domain specific lexicons,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
