Contributions,Source,Labels,,,,
"we propose a method for add weights to a training loss according to levels of words on top of (Scarton and Specia, 2018), and thus output only words under the desired level.",ACL,New Algorithm or Method or Technology,,,,
we present a hybrid architecture for the task of Sentiment Analysis of EnglishHindi code-mixed data,ACL,New Algorithm or Method or Technology,,,,
"we propose an unsupervised
method to capture discourse structure in terms
of cohesion and coherence for document embedding.",ACL,New Algorithm or Method or Technology,,,,
". SEARCHER, a novel CLIR approach designed
for low-resource conditions that relies on the
construction of a shared semantic space learned
from bitext and monolingual corpora",ACL,New Algorithm or Method or Technology,,,,
"We present an approach to rapidly gather event trigger examples for new event types, with minimal human effort.",ACL,New Algorithm or Method or Technology,,,,
We develop a User Interface (UI) to further expedite and improve the time efficiency of our approach,ACL,New Algorithm or Method or Technology,,,,
", we introduce an open-source tool that visualizes attention at multiple scales, each of which provides a unique perspective on the attention mechanism",ACL,New Algorithm or Method or Technology,,,,
"We introduce an open-source web-based data
annotation framework (AlpacaTag) for sequence tagging tasks such as named-entity
recognition (NER)",ACL,New Algorithm or Method or Technology,,,,
"we introduce a Knowledge-Constraint Typing Annotation Tool (KCAT1 ), which is efficient for fine-grained entity typing annotation",ACL,New Algorithm or Method or Technology,,,,
"We develop GLTR, a tool to support humans in detecting whether a text was generated by a model",ACL,New Algorithm or Method or Technology,,,,
"we develop and evaluate a multilabel, multidimensional deep neural network designed to predict PHQ-4 scores based on individuals written text",ACL,New Algorithm or Method or Technology,,,,
we propose a new method for the evaluation of frame induction enabling straightforward comparison of approaches,ACL,New Algorithm or Method or Technology,,,,
we propose methods for automatic seed selection for bootstrapping RE and noise reduction for distant supervised RE,ACL,New Algorithm or Method or Technology,,,,
"we propose the new task of automatic article commenting, and introduces a large-scale Chinese dataset1 with millions of real comments and a humanannotated subset characterizing the comments’ varying quality",ACL,New Algorithm or Method or Technology,,,,
"we design an effective syntaxbased evaluator is built as a post-hoc checker, yielding compression with better quality based upon the evaluation metrics",ACL,Algorithm or Method or Technology Optimization,,,,
we learn word and sentence embeddings jointly by training a multilingual skip-gram model together with a cross-lingual sentence similarity model,ACL,Model Optimization,,,,
"we propose an approach that aims at injecting syntactic information in NNs, still keeping them simple",ACL,New Algorithm or Method or Technology,,,,
we present a simple and effective approach by introducing a coverage-based feature into NMT,ACL,New Algorithm or Method or Technology,,,,
"we propose an approach that uses both the sentences and the bag-of-words as targets in the training stage, in order to encourage the model to generate the potentially correct sentences that are not appeared in the training se",ACL,New Algorithm or Method or Technology,,,,
"we propose Pseudofit, a method that improves word embeddings without external knowledge and focuses on semantic similarity and synonym extraction",ACL,Algorithm or Method or Technology Optimization,,,,
"We propose an endto-end approach for jointly predicting all predicates, arguments spans, and the relations between them",ACL,New Algorithm or Method or Technology,,,,
We formulate constrained sparsemax and derive efficient linear and sublinear-time algorithms for running forward and backward propagation,ACL,Algorithm or Method or Technology Optimization,,,,
We present a simple approach to select assisting language sentences based on symmetric KLDivergence of overlapping entities,ACL,New Algorithm or Method or Technology,,,,
